date,new_deaths_smoothed,new_cases_smoothed
2020-10-01,5.0,694.0
2020-10-02,4.714,701.143
2020-10-03,5.0,720.143
2020-10-04,5.143,756.0
2020-10-05,5.143,774.143
2020-10-06,5.714,801.571
2020-10-07,6.857,828.429
2020-10-08,7.571,874.0
2020-10-09,8.286,934.0
2020-10-10,8.714,979.714
2020-10-11,9.143,1014.857
2020-10-12,9.571,1057.143
2020-10-13,10.143,1070.429
2020-10-14,10.143,1101.286
2020-10-15,9.571,1136.0
2020-10-16,9.571,1159.0
2020-10-17,9.0,1217.857
2020-10-18,9.143,1294.286
2020-10-19,10.286,1361.571
2020-10-20,9.571,1414.286
2020-10-21,10.286,1486.143
2020-10-22,11.143,1580.0
2020-10-23,12.857,1754.143
2020-10-24,14.571,1998.286
2020-10-25,16.0,2220.0
2020-10-26,16.0,2432.143
2020-10-27,18.0,2614.286
2020-10-28,19.571,2776.571
2020-10-29,22.143,3118.714
2020-10-30,24.286,3378.0
2020-10-31,27.714,3637.429
2020-11-01,30.714,3975.714
2020-11-02,35.857,4235.714
2020-11-03,37.286,4522.143
2020-11-04,39.429,4866.429
2020-11-05,43.0,5150.571
2020-11-06,47.286,5528.0
2020-11-07,49.857,5800.286
2020-11-08,50.571,6139.571
2020-11-09,53.857,6216.0
2020-11-10,57.0,6396.714
2020-11-11,62.571,6547.429
2020-11-12,64.857,6700.714
2020-11-13,68.571,6995.857
2020-11-14,74.0,7182.143
2020-11-15,81.571,7029.0
2020-11-16,84.571,6996.571
2020-11-17,88.857,6834.857
2020-11-18,92.286,6810.286
2020-11-19,97.0,6822.714
2020-11-20,97.571,6430.857
2020-11-21,100.143,6195.143
2020-11-22,104.143,6116.143
2020-11-23,107.286,6124.143
2020-11-24,110.0,5813.286
2020-11-25,112.571,5603.714
2020-11-26,112.571,5349.571
2020-11-27,116.571,5200.571
2020-11-28,117.0,4973.571
2020-11-29,117.429,4655.429
2020-11-30,120.0,4453.0
2020-12-01,122.429,4446.571
2020-12-02,124.286,4270.429
2020-12-03,129.857,4012.429
2020-12-04,132.0,3752.0
2020-12-05,135.571,3557.429
2020-12-06,136.857,3465.0
2020-12-07,135.0,3340.429
2020-12-08,132.857,3294.143
2020-12-09,132.429,3170.857
2020-12-10,128.571,2984.429
2020-12-11,127.857,2829.0
2020-12-12,124.571,2748.143
2020-12-13,124.571,2640.143
2020-12-14,122.0,2607.429
2020-12-15,121.714,2670.143
2020-12-16,119.714,2703.143
2020-12-17,116.857,2721.143
2020-12-18,112.857,2708.143
2020-12-19,110.857,2545.286
2020-12-20,104.714,2447.571
2020-12-21,103.429,2286.0
2020-12-22,101.571,2121.286
2020-12-23,97.429,2030.429
2020-12-24,99.857,2001.857
2020-12-25,99.0,2068.429
2020-12-26,95.857,2047.857
2020-12-27,92.143,1924.429
2020-12-28,91.857,1875.571
2020-12-29,88.0,1924.714
2020-12-30,88.0,1927.286
2020-12-31,83.571,1986.857
2021-01-01,80.571,1966.286
2021-01-02,78.714,1994.429
2021-01-03,78.571,2037.857
2021-01-04,75.0,2105.286
