ID_GodotObject,cluster_value
2000115059032,1
2000116305030,3
2000116325081,3
2000116346340,2
2000116371728,0
2000116569218,3
2000116643454,3
2000116717900,3
2000116807446,2
2000116819342,3
2000116740663,2
2000116868037,0
2000117204747,2
2000117225352,3
2000117671399,3
2000117694963,3
2000117773115,0
2000117799374,2
2000117805283,3
2000117813455,3
2000118306572,0
2000118890822,2
2000118904988,1
2000119010979,3
2000119396183,0
2000119783957,3
2000119798370,3
2000119926812,3
2000119964770,3
2000120059197,0
2000120089418,2
2000120100164,3
2000120115898,3
2000120124979,3
2000120132000,0
2000120135831,0
2000120137622,2
2000120217222,2
2000120438753,0
2000120477720,2
2000120510206,2
2000120816680,3
2000120833582,3
2000121019357,2
2000121095270,3
2000121201027,2
2000121671795,1
2000122402488,0
2000122442386,3
2000122440975,2
2000122479006,1
2000122526777,2
2000122568683,3
2000122736430,0
2000122746478,1
2000122768740,3
2000122789852,3
2000122902453,2
2000123339962,0
2000123569052,0
2000123757470,1
2000123796090,1
2000123830935,1
2000123866037,0
2000123928993,1
2000123940035,3
2000124157392,3
2000124163685,2
2000124606731,0
2000125219409,3
2000125301517,2
2000125452514,1
2000125458745,0
2000125971598,1
2000126212924,2
2000126497942,1
2000126631447,0
2000126864898,0
2000127383081,1
2000127489680,0
2000127830758,3
2000127874486,1
2000128070755,1
2000128221499,0
2000128312219,1
2000128804986,2
2000128993752,3
2000129157100,0
2000129305914,0
2000129408042,3
2000129417401,2
2000129542531,0
2000129574113,3
2000129581597,0
2000129584367,2
2000129604031,0
2000129703306,0
2000129831411,1
2000130275144,2
2000130436224,0
2000130505680,0
2000130732406,3
2000130816685,3
