ID_GodotObject,tags
2000120059197,"Coronavirus,Tagesüberblick,Ampelschaltung,Gastronomie,Sozialkontakt,Salzburg,Eisenstadt,Österreich,Wien,Dänemark"
2000120089418,"Corona-Pandemie,Wiener Ballsaison,Wiener Opernball,Teststraße,Tagesüberblick,Neuinfektion,Coronavirus,Coronamaßnahme,Maskenpflicht,Virus,Wien,Österreich,Madrid,Ernst-Happel-Stadion,Michael Ludwig,Christine Aschbacher"
2000122402488,"Maskenpflicht,Silvesterfeiern,Tagesüberblick,Christtag,Ausgangsbeschränkung,Arbeitsplatz,Coronavirus,Haushalt,Todesfall,COVID-19,Wien,Österreich"
2000120100164,"Sperrstunde,Maskenpflicht,Regelpaket,COVID-19,Coronavirus,Gastronomie,ÖVP,Rudolf Anschober,Sebastian Kurz,Karl Nehammer"
2000122440975,"Testbeteiligung,Tagesüberblick,Massentest,Anreizsystem,Virus,Todesfall,Coronavirus,Neuinfektion,Impfung,Wien,Österreich,Deutschland,USA"
2000122442386,"Weihnachten,Coronavirus,Werktag,Virus,Massentest,Apotheke,Wien,Tirol,Vorarlberg,Kärnten,Salzburg,Niederösterreich,Steiermark,Oberösterreich,Burgenland,Ernst-Happel-Stadion,ÖVP,Bundesregierung,Sebastian Kurz,Werner Kogler"
2000120115898,"Wiener Ballsaison,Corona-Pandemie,Coronavirus,Neuinfektion,Fallzahl,Tagesüberblick,Höchstwert,Wien,Österreich,Ernst-Happel-Stadion,Rudolf Anschober,Michael Ludwig,Christine Aschbacher"
2000120124979,"Coronavirus,Intensivstation,SARS-CoV-2,COVID-19,Österreich,Wien,BMG,ÖVP,Polizei,Sebastian Kurz"
2000120132000,"Veranstaltungsbegrenzung,Schutzmaßnahme,COVID-19,Maskenpflicht,Verschärfung,SARS-CoV-2,Coronavirus,Österreich,BMG,Job Im"
2000120135831,"COVID-19,SARS-CoV-2,Freizeitaktivität,Coronavirus,Gesundheitsverbund,Wien,Österreich,Burgenland,Kärnten,Kroatien,Türkei,EMS,Klinik Hietzing,Rudolf Anschober"
