words_0,tfidf_0,words_1,tfidf_1,words_2,tfidf_2,words_3,tfidf_3,words_4,tfidf_4,words_5,tfidf_5,words_6,tfidf_6,words_7,tfidf_7
gelten,0.33502847422886073,corona,0.22960217570634525,werden,0.2568934107492746,corona,0.2753793674268875,sein,0.28715213699864867,corona,0.20083147927670347,corona,0.19892144027832648,demo,0.41596838160386856
ab,0.283950808442434,vfgh,0.199580888493903,neu,0.19143406433829754,werden,0.20902289334811947,sagen,0.18839765781561554,mehr,0.1864863736140818,gelten,0.18992482221311163,werden,0.25972497169544345
maskenpflicht,0.2366256737020283,griechenland,0.1839813178998124,ab,0.17126227383284973,österreich,0.19575159853236584,maske,0.1604868936947836,österreich,0.15779616228883844,bid,0.1556608382297309,polizei,0.2480244876198261
dürfen,0.19399865804129326,maskenpflicht,0.14694539245206095,montag,0.16408634086139792,wien,0.1658911851969202,corona,0.15293972514058463,ab,0.15420988587318302,maskenpflicht,0.15333527688121,anzeigen,0.22094186486088174
person,0.15775044913468553,covid,0.11020904433904573,corona,0.15902925427336045,schule,0.13934859556541296,geben,0.14357606849932433,wien,0.15420988587318302,ab,0.14504688353627973,wien,0.21188089796207227
corona,0.141975404221217,wien,0.11020904433904573,minister,0.15316213886619565,neu,0.1186754256499512,werden,0.12172753633638368,geben,0.1470373330418722,müssen,0.13675849019134945,wegen,0.1640368242287011
mehr,0.13803164299284984,österreich,0.11020904433904573,freitag,0.15307353876231455,polizei,0.11209429812322409,maskenpflicht,0.12172753633638368,werden,0.1470373330418722,maske,0.1343370693702497,corona,0.15720195655250524
montag,0.11461500434145236,maßnahme,0.11020904433904573,wien,0.1467962347138712,sein,0.10948818222996733,weit,0.11860631745596359,person,0.13986478021056134,tragen,0.1284700968464192,kundgebung,0.14343737296685125
ffp2,0.10531355722241635,verbieten,0.10207659638933352,orang,0.13596397729630696,positiv,0.10013239039214633,rewe,0.11790410936530556,gelten,0.13629508391220307,regel,0.1204401311595342,protest,0.13692030126335106
veranstaltung,0.1025377919375456,coronavirus,0.10102495731079192,coronavirus,0.13456321515438194,haimbuchner,0.09969704812224833,maßnahme,0.1123638796951234,coronavirus,0.13627850379490591,dürfen,0.11649047648575413,teilnehmer,0.12987828536993468
maske,0.10139019614820785,land,0.10102495731079192,808,0.1225297110929565,geben,0.09953471111815212,gelb,0.1096691057799718,maskenpflicht,0.13627850379490591,prozent,0.11649047648575413,demonstrant,0.11980526360543217
bereits,0.09698192675045968,verhältnismäßig,0.09636918948845416,regierung,0.1100971760354034,covid,0.09621688741421372,skigebiet,0.10174157247559767,zehn,0.11218898556782896,impfpflichen,0.11257276464165417,person,0.1025230151429382
wien,0.09465026948081133,p1,0.0919906589499062,gelten,0.10939089390759861,test,0.09621688741421372,mückstein,0.10089557731757406,antwort,0.10776376453241482,mehr,0.11189331015655865,geben,0.09568814746674233
geben,0.09465026948081133,mail,0.0919906589499062,ampel,0.10715147713362017,maskenpflicht,0.09289906371027531,prozent,0.09650881308637518,covid,0.10041573963835174,schüler,0.1118617036256219,samstag,0.09167878967289506
tragen,0.09070650825244418,unverhältnismäßig,0.0919906589499062,donnerstag,0.09571703216914877,auer,0.09138896077872764,neu,0.09419882890780777,19,0.09682946322269631,geben,0.10774911348409351,rund,0.08885327979054644
handel,0.08882793588151135,werden,0.09184087028253811,testen,0.09571703216914877,woche,0.08158935513434144,sehen,0.09373502925341858,test,0.0932431868070409,person,0.10360491681162838,maßnahmen,0.08885327979054644
regel,0.08375711855721518,pandemie,0.08265678325428429,schramböck,0.09189728331971737,bleiben,0.07788074808278048,reischl,0.08597351013736439,woche,0.09219961558766679,ffp2,0.0931923811886033,demos,0.0866422787906438
bleiben,0.07934884915946702,19,0.08265678325428429,quarantäne,0.09184412325738872,mehr,0.07630994519058329,ab,0.08427290977134255,neuinfektion,0.09219961558766679,sein,0.09117232679423297,2000,0.08645551233686677
kunde,0.07514221785551213,mehr,0.08265678325428429,acht,0.08861257902337791,coronavirus,0.07630994519058329,können,0.08201815059674124,dürfen,0.09072695466422827,verordnung,0.08801394200119807,innenstadt,0.08606242378011074
sowie,0.07493146333897563,kontrollieren,0.08044526426329052,covid,0.08563113691642486,tag,0.07299212148664488,regel,0.0802434468473918,jänner,0.09031444507746102,mensch,0.08702813012176784,rutter,0.08606242378011074
var,0.07448783199681706,virusmutation,0.07709535159076332,person,0.08563113691642486,quarantäne,0.07057789141091889,ffp2,0.07896175616157969,liegen,0.08975118845426316,cdc,0.08697062063492823,zwei,0.08201841211435056
pflicht,0.07402327990125945,wolfgang,0.07709535159076332,maskenpflicht,0.08563113691642486,montag,0.07046353397965853,regierung,0.07803047201050237,fall,0.08975118845426316,besucher,0.0855413027725344,sein,0.08201841211435056
geschäft,0.07402327990125945,tennengau,0.07709535159076332,19,0.08563113691642486,person,0.06967429778270648,wien,0.07803047201050237,neu,0.08819093664907257,pflegeheime,0.08255336073721305,eisenstadt,0.07426481039198041
frei,0.0709877021106085,begräbnissen,0.07709535159076332,verschärfen,0.08204317043069896,kind,0.06642625073968836,bereits,0.07675460133228781,sollen,0.07889808114441922,geimpft,0.07896120255926252,beenden,0.07426481039198041
werden,0.0709877021106085,qr,0.07709535159076332,kündigen,0.08204317043069896,prozent,0.06528319631035467,ampel,0.07420689815895637,bereits,0.07616489983328996,ungeimpft,0.07896120255926252,festnahmen,0.07171868648342562
etwa,0.0709877021106085,ab,0.07347269622603048,bleiben,0.08204317043069896,sagen,0.06304631987653658,aktuell,0.07420689815895637,sieben,0.07560579555352356,vollständig_impfen,0.0782735585714354,demonstrieren,0.07171868648342562
öffnen,0.07053231036397067,st,0.07291185456380965,neuinfektion,0.08204317043069896,ab,0.06303865037482968,mehr,0.07178803424966217,mensch,0.0753118047287638,werden,0.07459554010437243,karlsplatz,0.07171868648342562
woche,0.07053231036397067,beziehungsweise,0.07291185456380965,reuter,0.07769370131217541,rund,0.06303865037482968,kurz,0.07178803424966217,rund,0.0753118047287638,tag,0.07459554010437243,1600,0.06846015063167553
dienstag,0.07053231036397067,2020,0.07291185456380965,reisewarnunge,0.07701709552518457,erster,0.06303865037482968,etwa,0.07178803424966217,montag,0.07215622089469576,mund,0.07459554010437243,verletzen,0.06846015063167553
schutz,0.07053231036397067,impft,0.06899299421242965,grenzkontroll,0.07701709552518457,uhr,0.06303865037482968,gut,0.07178803424966217,silvester,0.07184250968827656,test,0.07459554010437243,karlskirch,0.06846015063167553
