ID_Posting,ID_Posting_Parent,ID_GodotObject,ID_CommunityIdentity,id_posting_status,Headline,Comment,createdAt,VoteNegative,VotePositive,merged_text,p_merged_text
1049746955,1049746300,2000114365338,581535,1.0,,"Nö, noch um einiges schlimmer.",2020-02-10 13:39:17.460,False,True,"Nö, noch um einiges schlimmer. | ",nö schlimm
1051784424,1051784054,2000116189812,632068,1.0,,"Wieder einer, der nicht kapiert, dass Arbeit keine Gängelei ist, sondern notwendig für Versorgung und Wohlstand.",2020-03-26 12:08:22.187,False,True,"Wieder einer, der nicht kapiert, dass Arbeit keine Gängelei ist, sondern notwendig für Versorgung und Wohlstand. | ",kapieren Arbeit Gängelei notwendig Versorgung Wohlstand
1051784801,-1,2000116189812,600252,1.0,ich fasse es mit den worten von prof. falco zusammen:,nie mehr schule!,2020-03-26 12:13:29.653,True,False,nie mehr schule! | ich fasse es mit den worten von prof. falco zusammen:,nie mehr Schule fassen warten pro zusammen
1051785187,-1,2000116189812,701802,1.0,,Das wird Monate dauern ihr Traumtänzer... Das steht einfach nicht dafür,2020-03-26 12:19:13.047,True,False,Das wird Monate dauern ihr Traumtänzer... Das steht einfach nicht dafür | ,Monat dauern Traumtänzer stehen einfach dafür
1051785575,1051784986,2000116189812,702957,1.0,Dann sind wir gefordert,und müssen in Massen auf dieStrassen.,2020-03-26 12:25:26.320,False,True,und müssen in Massen auf dieStrassen. | Dann sind wir gefordert,müssen Masse Diestrasse fordern
1051786023,1051785474,2000116189812,702957,1.0,Die kommen jetzt eh schon mit,"Phase II der Propaganda: die Massen an jungen gesunden Leuten, die auch scheerst an Corona erkranken können..",2020-03-26 12:31:54.270,False,True,"Phase II der Propaganda: die Massen an jungen gesunden Leuten, die auch scheerst an Corona erkranken können.. | Die kommen jetzt eh schon mit",Phase ii Propaganda Masse jung gesund Leuten scherst corona krank kommen eh schon
1051787270,1051786593,2000116189812,535549,1.0,,"Huhu, das wird dann wieder eine lustige Diskussion...",2020-03-26 12:48:33.360,False,True,"Huhu, das wird dann wieder eine lustige Diskussion... | ",Huhu lustig Diskussion
1051787674,-1,2000116189812,180741,1.0,,"Für das zitierte ""Modell"" (was IST denn das Modell?? ein logistischer Prozess? Welche Parameter? Wie geschätzt.... ??)  des Wolfgang Pauli Instituts gibt es überhaupt keine Grundlagen und ich würde das nicht als Mathematik bezeichnen - das kann jeder Gymnasiast mir einer Excel-Tabelle der Daten realisieren. Und wie kommt der Mathematiker Mauser dazu, von der Nützlichkeit einer Maskenpflicht zu reden? Aus welchen Daten schließt er auf diese?",2020-03-26 12:54:17.667,False,True,"Für das zitierte ""Modell"" (was IST denn das Modell?? ein logistischer Prozess? Welche Parameter? Wie geschätzt.... ??)  des Wolfgang Pauli Instituts gibt es überhaupt keine Grundlagen und ich würde das nicht als Mathematik bezeichnen - das kann jeder Gymnasiast mir einer Excel-Tabelle der Daten realisieren. Und wie kommt der Mathematiker Mauser dazu, von der Nützlichkeit einer Maskenpflicht zu reden? Aus welchen Daten schließt er auf diese? | ",zitieren Modell Modell egoistisch Prozess Parameter schätzen Wolfgang Pauli Institut geben überhaupt Grundlage Mathematik bezeichnen Gymnasiast exceltabell daten realisieren kommen Mathematiker Mauser Nützlichkeit Maskenpflicht reden daten schließen
1051787911,1051787716,2000116189812,180741,1.0,,"Der Mauser hat kein ""Modell"", sorry....",2020-03-26 12:57:49.790,False,True,"Der Mauser hat kein ""Modell"", sorry.... | ",Mauser Modell Sorry
1051788156,1051787434,2000116189812,702957,1.0,Aber dann würde das,argumentative Kartenhaus von Shirty & The Gang in sich zusammenstürzen,2020-03-26 13:01:24.747,True,False,argumentative Kartenhaus von Shirty & The Gang in sich zusammenstürzen | Aber dann würde das,Argumentative Kartenhaus Shirty -- Gang zusammenstürzen
1051788640,1051787141,2000116189812,587439,1.0,,Gute Frage. Die sollte öfter gestellt werden.,2020-03-26 13:07:57.223,False,True,Gute Frage. Die sollte öfter gestellt werden. | ,gut Frage öft stellen
